year,CAN,USA,BRA,CHL,CUB,CUW,PRI,TTO,BGR,CZE, ROU,LTU,BEL,FRA, DEU,GRE,ITA,NLD,ESP,SWE,TUR,GBR,BHR,SYR,YEM,CIV,KEN,MAR,AUS,CHN,IND,IDN,JPN,NZL,PHL,SGP, KOR,THA,Others,WORLD
1960,360.1,1015,113.1,10.5,59.3,776,75.7,na,0.2,21.7,0,na,135.5,619.9,498.6,32.4,550.4,352.5,133.4,52.3,0,921.2,160.5,13.2,85.4,0,0,1.9,242,0,117.1,36.5,547,0,27.2,5.7,0,0,484.6,7554.4
1961,379.7,1045,150.6,10.1,54.1,818.5,90.2,na,0.4,26.8,0,na,161.2,701.7,632.9,31.4,637.2,358.9,152.4,51.3,6.7,1016.4,171.7,14.6,107.6,0,0,2.7,267.2,0,122.4,43.5,686.8,0,44.1,26,0,0,527,8485.5
1962,383.5,1126,198.7,12.5,67.5,828.4,97.2,na,0.3,35.4,0,na,172.1,744.6,710.7,35.6,764.2,416.9,198.5,48.7,44.4,1087.1,194.9,14.9,126.5,0,0,4.2,278.6,0,123.5,28.3,812.6,0,58.6,66.5,0.6,0,581.6,9457.5
1963,420,1131,206.9,8.6,67.3,805.7,106.2,na,9,40.6,0,na,241.7,866.8,864.4,36.1,882.7,430.5,215.8,54.4,56.7,1118.8,179.9,16.7,128.4,0,4.4,14.7,320.1,0,133.7,25.3,1052.1,0,69.8,72.5,0.9,1,697.4,10526.6
1964,410.2,1198,214.9,8.8,62.8,816,107.8,na,36.2,49.7,0,na,269.4,984.6,1107.2,36.8,1034.3,494.5,258.2,70.3,69.2,1230.3,153.8,19.2,137.2,0,30,16.7,324.7,0,138.9,0,1260,23.2,81.1,46.7,16,12.6,947,11962.6
1965,410.8,1238,204.4,14.4,63.2,817.8,115.8,na,44.1,58.8,0,na,316.9,1173.3,1272.8,50.7,1271.7,538,274.8,73.8,59.7,1363.6,135.1,19.3,140.4,4,36.9,18.9,351.1,0,139.7,0,1440,53,87.5,53.2,29.1,22.6,1123.4,13347.8
1966,412.4,1225,225.8,26.2,69.4,796.7,146.3,na,52.2,62.8,0,na,335.7,1295.1,1469.7,61,1488.8,594.9,334.7,73.6,60.9,1457.1,133.7,20,139.2,12.3,37,23.2,387.2,0,153,0,1721.2,59.3,98.1,73.6,41.2,40.9,1236.2,14789.3
1967,486.4,1128,210.6,33.9,67.4,830.3,154.3,na,56.2,71.8,0,na,345.3,1459.2,1559.8,78.2,1585.1,632.9,435.3,121.7,59.4,1521.1,169,20.3,117.3,13.3,39,22.8,419,0,178.6,0,2084.9,58,121.9,110.5,53.4,41,1259.1,16094.2
1968,508.1,1291,249.1,33.2,69.7,805.8,181.8,na,66.1,75,14.5,na,467.9,1569.8,1821.7,75.2,1738.2,713.3,578.9,179,66.7,1683.5,150.6,20.1,98.7,14.1,39.2,25.6,428.3,0,213.8,0,2431.3,60.1,153.1,180.6,98.6,60.6,1430.9,18235.4
1969,551.5,1409,297.4,47.2,75.4,851,210.4,na,96.3,90.3,26.1,na,570.2,1766.7,1967.9,90.1,1923.9,951.1,571.4,208.6,56.2,1928.8,157.3,25.2,129.9,16.7,42.5,27.1,435.8,0,219.5,0,2916.4,63.5,155.9,191.1,152.4,47.3,1659.8,20671.9
